순번	광역단체	기초단체	토건예산(2009년)	토건예산(2012년)	토건예산증감(p)	복지예산(2009년)	복지예산(2012년)	복지예산증감(p)	자살자수(2012년, 10만명 당 연령표준화)
190	전남	강진군	48.34	30.84	-17.50	12.5	13.8	1.3	18.1
191	전남	해남군	46.68	35.90	-10.78	15.5	15.9	0.4	32
192	전남	영암군	46.78	35.73	-11.05	14.6	13.5	-1.1	24.4
193	전남	무안군	51.27	48.10	-3.17	12.9	15.4	2.5	23.8
194	전남	함평군	49.32	32.58	-16.74	15.0	16.3	1.3	49.4
195	전남	영광군	47.66	37.97	-9.69	12.0	13.9	1.9	27.8
196	전남	장성군	53.60	46.42	-7.18	13.6	14.3	0.7	23.9
197	전남	완도군	50.18	35.32	-14.86	15.2	13.2	-2.0	30.4
198	전남	진도군	55.75	46.94	-8.81	12.3	11.6	-0.7	34.2
199	전남	신안군	60.81	52.22	-8.59	10.4	9.4	-1.0	21.1
200	경북	본청	8.78	8.54	-0.24	29.1	25.7	-3.4	27.1
201	경북	포항시	38.07	30.66	-7.41	21.5	25.4	3.9	24.3
202	경북	경주시	50.67	34.43	-16.24	16.5	21.1	4.6	24.5
203	경북	김천시	52.83	46.66	-6.17	18.1	18.3	0.2	22.8
204	경북	안동시	41.08	32.42	-8.66	18.5	18.6	0.1	31.2
205	경북	구미시	53.39	38.23	-15.16	15.6	19.8	4.2	27.4
206	경북	영주시	44.74	38.26	-6.48	19.9	21.4	1.5	45.2
207	경북	영천시	47.16	42.43	-4.73	14.7	15.2	0.5	28.3
208	경북	상주시	54.24	46.86	-7.38	13.1	13.6	0.5	22.5
209	경북	문경시	49.08	37.59	-11.49	16.5	16.4	-0.1	20.7
210	경북	경산시	41.61	29.70	-11.91	22.2	25.1	2.9	30.5
211	경북	군위군	61.62	52.06	-9.56	9.1	10.6	1.5	38.1
212	경북	의성군	49.24	45.01	-4.23	13.4	12.6	-0.8	44.4
213	경북	청송군	62.96	51.36	-11.60	10.0	12.5	2.5	18
214	경북	영양군	58.59	55.91	-2.68	10.3	11.0	0.7	41.1
215	경북	영덕군	62.41	51.03	-11.38	13.2	15.9	2.7	36.3
216	경북	청도군	56.22	55.39	-0.83	13.7	11.9	-1.8	25.8
217	경북	고령군	56.88	49.42	-7.46	12.7	12.6	-0.1	28.5
218	경북	성주군	52.68	51.22	-1.46	10.5	12.5	2.0	21.2
219	경북	칠곡군	48.44	35.13	-13.31	17.4	21.4	4.0	26.4
220	경북	예천군	54.36	46.20	-8.16	13.5	14.1	0.6	16.6
221	경북	봉화군	64.70	55.13	-9.57	8.0	10.0	2.0	50.8
222	경북	울진군	52.30	41.65	-10.65	13.8	15.9	2.1	21.3
223	경북	울릉군	71.16	57.54	-13.62	4.3	4.4	0.1	18.9
224	경남	본청	15.23	7.71	-7.52	25.5	27.3	1.8	24
225	경남	진주시	46.97	28.56	-18.41	19.3	21.8	2.5	24.6
226	경남	통영시	54.85	46.57	-8.28	14.9	18.5	3.6	33.2
227	경남	사천시	53.71	46.30	-7.41	19.6	22.1	2.5	22.5
228	경남	김해시	39.40	25.31	-14.09	20.8	26.2	5.4	23.2
229	경남	밀양시	43.74	42.95	-0.79	19.5	17.5	-2.0	25
230	경남	거제시	53.03	41.21	-11.82	18.1	18.8	0.7	19.6
231	경남	양산시	53.79	31.50	-22.29	16.2	24.1	7.9	23.8
